state,year,population
Minnesota,2023,5713716.0
Mississippi,2023,2951438.0
Missouri,2023,6168181.0
Montana,2023,1105072.0
Nebraska,2023,1965926.0
Nevada,2023,3141000.0
New Hampshire,2023,1387834.0
New Jersey,2023,9267014.0
New Mexico,2023,2114768.0
New York,2023,19872319.0
North Carolina,2023,10584340.0
North Dakota,2023,779361.0
Ohio,2023,11780046.0
Oklahoma,2023,3995260.0
Oregon,2023,4238714.0
Pennsylvania,2023,12986518.0
Rhode Island,2023,1095371.0
South Carolina,2023,5212774.0
South Dakota,2023,899194.0
Tennessee,2023,6986082.0
Texas,2023,29640343.0
Utah,2023,3331187.0
Vermont,2023,645254.0
Virginia,2023,8657499.0
Washington,2023,7740984.0
West Virginia,2023,1784462.0
Wisconsin,2023,5892023.0
Wyoming,2023,579761.0
District of Columbia,2023,672079.0
Alabama,2024,5086768.0
Alaska,2024,735706.0
Arizona,2024,7378838.0
Arkansas,2024,3049391.0
California,2024,39287377.0
Colorado,2024,5862189.0
Connecticut,2024,3624508.0
Delaware,2024,1021191.0
Florida,2024,22416077.0
Georgia,2024,10940407.0
Hawaii,2024,1445235.0
Idaho,2024,1934262.0
Illinois,2024,12694798.0
Indiana,2024,6851073.0
Iowa,2024,3210507.0
Kansas,2024,2947197.0
Kentucky,2024,4534824.0
Louisiana,2024,4611961.0
Maine,2024,1387817.0
Maryland,2024,6206011.0
Massachusetts,2024,7044056.0
Michigan,2024,10077761.0
Minnesota,2024,5739445.0
Mississippi,2024,2946779.0
Missouri,2024,6191814.0
Montana,2024,1116875.0
Nebraska,2024,1978707.0
Nevada,2024,3184612.0
New Hampshire,2024,1394868.0
New Jersey,2024,9343809.0
New Mexico,2024,2120246.0
New York,2024,19852366.0
North Carolina,2024,10730404.0
North Dakota,2024,784841.0
Ohio,2024,11810293.0
Oklahoma,2024,4028634.0
Oregon,2024,4254293.0
Pennsylvania,2024,13018639.0
Rhode Island,2024,1101801.0
South Carolina,2024,5296225.0
South Dakota,2024,907428.0
Tennessee,2024,7066383.0
Texas,2024,30188424.0
Utah,2024,3392331.0
Vermont,2024,647106.0
Virginia,2024,8705170.0
Washington,2024,7816116.0
West Virginia,2024,1778373.0
Wisconsin,2024,5914872.0
Wyoming,2024,582397.0
District of Columbia,2024,681294.0
